Bootstrap,Threshold,PQ,PC,F1,F1*,Fractions,Brand,Webshop1&Webshop2,b,r,Similarity_threshold,Clusters,Duplicate_pair
4,0.75,0.6666666666666666,1.0,0.8,0.07692307692307691,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,194,3,0.4,1,45
Average,Optimal,0.7999999999999999,1.0,0.8799999999999999,0.07855216312439314,0.06222222222222222,SunBriteTV,bestbuy.com&newegg.com,194,3,0.4,1,45
0,0.75,0.6666666666666666,1.0,0.8,0.07692307692307691,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,194,3,0.6,1,26
1,0.75,1.0,1.0,1.0,0.0967741935483871,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,194,3,0.6,1,26
2,0.75,1.0,1.0,1.0,0.06521739130434782,0.044444444444444446,SunBriteTV,bestbuy.com&newegg.com,194,3,0.6,1,26
3,0.75,0.6666666666666666,1.0,0.8,0.07692307692307691,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,194,3,0.6,1,26
4,0.75,0.6666666666666666,1.0,0.8,0.07692307692307691,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,194,3,0.6,1,26
Average,Optimal,0.7999999999999999,1.0,0.8799999999999999,0.07855216312439314,0.06222222222222222,SunBriteTV,bestbuy.com&newegg.com,194,3,0.6,1,26
0,1.0,0.75,1.0,0.8571428571428571,0.16981132075471697,0.14285714285714285,SunBriteTV,bestbuy.com&newegg.com,194,3,0.8,2,7
1,0.75,0.6666666666666666,1.0,0.8,0.12080536912751677,0.10714285714285714,SunBriteTV,bestbuy.com&newegg.com,194,3,0.8,2,7
2,0.75,0.6666666666666666,1.0,0.8,0.12080536912751677,0.10714285714285714,SunBriteTV,bestbuy.com&newegg.com,194,3,0.8,2,7
3,0.75,1.0,1.0,1.0,0.10344827586206895,0.07142857142857142,SunBriteTV,bestbuy.com&newegg.com,194,3,0.8,2,7
4,0.75,0.5,1.0,0.6666666666666666,0.06818181818181818,0.07142857142857142,SunBriteTV,bestbuy.com&newegg.com,194,3,0.8,2,7
Average,Optimal,0.7166666666666666,1.0,0.8247619047619048,0.11661043061072754,0.1,SunBriteTV,bestbuy.com&newegg.com,194,3,0.8,2,7
0,0.75,0.6666666666666666,1.0,0.8,0.07692307692307691,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,582,1,0.4,1,45
1,0.75,1.0,1.0,1.0,0.0967741935483871,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,582,1,0.4,1,45
2,0.75,1.0,1.0,1.0,0.06521739130434782,0.044444444444444446,SunBriteTV,bestbuy.com&newegg.com,582,1,0.4,1,45
3,0.75,0.6666666666666666,1.0,0.8,0.07692307692307691,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,582,1,0.4,1,45
4,0.75,0.6666666666666666,1.0,0.8,0.07692307692307691,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,582,1,0.4,1,45
Average,Optimal,0.7999999999999999,1.0,0.8799999999999999,0.07855216312439314,0.06222222222222222,SunBriteTV,bestbuy.com&newegg.com,582,1,0.4,1,45
0,0.75,0.6666666666666666,1.0,0.8,0.07692307692307691,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,582,1,0.6,1,26
1,0.75,1.0,1.0,1.0,0.0967741935483871,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,582,1,0.6,1,26
2,0.75,1.0,1.0,1.0,0.06521739130434782,0.044444444444444446,SunBriteTV,bestbuy.com&newegg.com,582,1,0.6,1,26
3,0.75,0.6666666666666666,1.0,0.8,0.07692307692307691,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,582,1,0.6,1,26
4,0.75,0.6666666666666666,1.0,0.8,0.07692307692307691,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,582,1,0.6,1,26
Average,Optimal,0.7999999999999999,1.0,0.8799999999999999,0.07855216312439314,0.06222222222222222,SunBriteTV,bestbuy.com&newegg.com,582,1,0.6,1,26
0,1.0,0.75,1.0,0.8571428571428571,0.16981132075471697,0.14285714285714285,SunBriteTV,bestbuy.com&newegg.com,582,1,0.8,2,7
1,0.75,0.6666666666666666,1.0,0.8,0.12080536912751677,0.10714285714285714,SunBriteTV,bestbuy.com&newegg.com,582,1,0.8,2,7
2,0.75,0.6666666666666666,1.0,0.8,0.12080536912751677,0.10714285714285714,SunBriteTV,bestbuy.com&newegg.com,582,1,0.8,2,7
3,0.75,1.0,1.0,1.0,0.10344827586206895,0.07142857142857142,SunBriteTV,bestbuy.com&newegg.com,582,1,0.8,2,7
4,0.75,0.5,1.0,0.6666666666666666,0.06818181818181818,0.07142857142857142,SunBriteTV,bestbuy.com&newegg.com,582,1,0.8,2,7
Average,Optimal,0.7166666666666666,1.0,0.8247619047619048,0.11661043061072754,0.1,SunBriteTV,bestbuy.com&newegg.com,582,1,0.8,2,7
0,0.75,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,RCA,bestbuy.com&newegg.com,1,582,0.4,1,3
1,1.5,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,1,582,0.4,1,3
